Spectra,Frequency (Hz),Photometry (Jy),Uncertainty (Jy)
TGSS_corr,150e6,1.2582866859854933,0.051914794200498625
NVSS_corr,1.4e9,0.2337737382832515,0.004294603063879445
J01445_C_bl0,4.486987116382e9,0.07011815892916066,0.001778101176640779
J01445_C_bl1,5.510978428905e9,0.05992182341491207,0.0006968190507778734
J01445_C_bl2,6.486970148654e9,0.04890516563394062,0.0010163723370812609
J01445_C_bl3,7.510961461177e9,0.040746487718407824,0.0007346279676387968
J01445_X_bl0,8.486933765689e09,0.03654849574696973,0.0006147814431341101
J01445_X_bl1,9.510921881132e09,0.033082338380041404,0.0006116919471226195
J01445_X_bl2,1.048691055366e10,0.028319875423609187,0.00045757036192146727
J01445_X_bl3,1.151089866911e10,0.0262519791783531,0.0007618303916405942
